id093,angle180-x0292,y1385
id093,angle225-x0271,y1353
id093,angle270-x0000,y0000
id093,angle315-x0000,y0000
id094,angle000-x0000,y0000
id094,angle045-x0828,y1284
id094,angle090-x0735,y1337
id094,angle135-x0475,y1355
id094,angle180-x0284,y1328
id094,angle225-x0000,y0000
id094,angle270-x0000,y0000
id094,angle315-x0000,y0000
id095,angle000-x0000,y0000
id095,angle045-x0000,y0000
id095,angle090-x0768,y1397
id095,angle135-x0000,y0000
id095,angle180-x0000,y0000
id095,angle225-x0000,y0000
id095,angle270-x0000,y0000
id095,angle315-x0000,y0000
id096,angle000-x0000,y0000
id096,angle045-x0000,y0000
id096,angle090-x0814,y1399
id096,angle135-x0572,y1441
id096,angle180-x0318,y1421
id096,angle225-x0237,y1375
id096,angle270-x0000,y0000
id096,angle315-x0000,y0000
id097,angle000-x0000,y0000
id097,angle045-x0000,y0000
id097,angle090-x0833,y1364
id097,angle135-x0643,y1409
id097,angle180-x0396,y1419
id097,angle225-x0000,y0000
id097,angle270-x0000,y0000
id097,angle315-x0000,y0000
id098,angle000-x0000,y0000
id098,angle045-x0000,y0000
id098,angle090-x0846,y1304
id098,angle135-x0683,y1348
id098,angle180-x0409,y1350
id098,angle225-x0268,y1321
id098,angle270-x0000,y0000
id098,angle315-x0000,y0000
id099,angle000-x0000,y0000
id099,angle045-x0000,y0000
id099,angle090-x0852,y1364
id099,angle135-x0711,y1418
id099,angle180-x0434,y1429
id099,angle225-x0274,y1401
id099,angle270-x0000,y0000
id099,angle315-x0000,y0000
id100,angle000-x0000,y0000
id100,angle045-x0000,y0000
id100,angle090-x0812,y1326
id100,angle135-x0794,y1369
id100,angle180-x0599,y1413
id100,angle225-x0403,y1407
id100,angle270-x0247,y1357
id100,angle315-x0000,y0000
id101,angle000-x0000,y0000
id101,angle045-x0000,y0000
id101,angle090-x0814,y1304
id101,angle135-x0835,y1352
id101,angle180-x0646,y1393
id101,angle225-x0433,y1393
id101,angle270-x0234,y1350
id101,angle315-x0000,y0000
id102,angle000-x0000,y0000
id102,angle045-x0000,y0000
id102,angle090-x0000,y0000
id102,angle135-x0000,y0000
id102,angle180-x0670,y1369
id102,angle225-x0479,y1378
id102,angle270-x0271,y1343
id102,angle315-x0000,y0000
id103,angle000-x0000,y0000
id103,angle045-x0000,y0000
id103,angle090-x0000,y0000
id103,angle135-x0839,y1354
id103,angle180-x0699,y1401
id103,angle225-x0503,y1412
id103,angle270-x0267,y1379
id103,angle315-x0258,y1333
id104,angle000-x0000,y0000
id104,angle045-x0000,y0000
id104,angle090-x0000,y0000
id104,angle135-x0820,y1353
id104,angle180-x0731,y1377
id104,angle225-x0561,y1396
id104,angle270-x0317,y1377
id104,angle315-x0000,y0000
id105,angle000-x0000,y0000
id105,angle045-x0000,y0000
id105,angle090-x0000,y0000
id105,angle135-x0864,y1272
id105,angle180-x0787,y1314
id105,angle225-x0602,y1332
id105,angle270-x0292,y1320
id105,angle315-x0221,y1276
id106,angle000-x0000,y0000
id106,angle045-x0000,y0000
id106,angle090-x0000,y0000
id106,angle135-x0000,y0000
id106,angle180-x0816,y1311
id106,angle225-x0673,y1333
id106,angle270-x0365,y1331
id106,angle315-x0239,y1293
id107,angle000-x0000,y0000
id107,angle045-x0000,y0000
id107,angle090-x0000,y0000
id107,angle135-x0824,y1245
id107,angle180-x0824,y1280
id107,angle225-x0701,y1306
id107,angle270-x0397,y1308
id107,angle315-x0249,y1279
id108,angle000-x0000,y0000
id108,angle045-x0000,y0000
id108,angle090-x0000,y0000
id108,angle135-x0000,y0000
id108,angle180-x0779,y1298
id108,angle225-x0000,y0000
id108,angle270-x0469,y1334
id108,angle315-x0000,y0000
id109,angle000-x0000,y0000
id109,angle045-x0000,y0000
id109,angle090-x0000,y0000
id109,angle135-x0000,y0000
id109,angle180-x0799,y1227
id109,angle225-x0727,y1245
id109,angle270-x0481,y1257
id109,angle315-x0314,y1237
id110,angle000-x0000,y0000
id110,angle045-x0000,y0000
id110,angle090-x0000,y0000
id110,angle135-x0000,y0000
id110,angle180-x0000,y0000
id110,angle225-x0000,y0000
id110,angle270-x0000,y0000
id110,angle315-x0365,y1311
id111,angle000-x0000,y0000
id111,angle045-x0000,y0000
id111,angle090-x0000,y0000
id111,angle135-x0000,y0000
id111,angle180-x0000,y0000
id111,angle225-x0000,y0000
id111,angle270-x0000,y0000
id111,angle315-x0391,y1337
id112,angle000-x0298,y1294
id112,angle045-x0000,y0000
id112,angle090-x0000,y0000
id112,angle135-x0000,y0000
id112,angle180-x0000,y0000
id112,angle225-x0000,y0000
id112,angle270-x0633,y1336
id112,angle315-x0433,y1332
id113,angle000-x0316,y1342
id113,angle045-x0000,y0000
id113,angle090-x0000,y0000
id113,angle135-x0000,y0000
id113,angle180-x0000,y0000
id113,angle225-x0000,y0000
id113,angle270-x0635,y1376
id113,angle315-x0448,y1379
id114,angle000-x0000,y0000
id114,angle045-x0000,y0000
id114,angle090-x0000,y0000
id114,angle135-x0000,y0000
id114,angle180-x0000,y0000
id114,angle225-x0000,y0000
id114,angle270-x0689,y1355
id114,angle315-x0511,y1363
id115,angle000-x0292,y1299
id115,angle045-x0000,y0000
id115,angle090-x0000,y0000
id115,angle135-x0000,y0000
id115,angle180-x0000,y0000
id115,angle225-x0805,y1272
id115,angle270-x0732,y1312
id115,angle315-x0531,y1326
id116,angle000-x0000,y0000
id116,angle045-x0000,y0000
id116,angle090-x0000,y0000
id116,angle135-x0000,y0000
id116,angle180-x0000,y0000
